Carbonne,FR,7.72,5.15
city,country,temp_max,temp_min
Carbonne,FR,7.64,5.07
city,country,temp_max,temp_min
Arrondissement de Marseille,FR,9.92,-2.9
city,country,temp_max,temp_min
Saint-Pierre,FR,4.3,-3.07
city,country,temp_max,temp_min
Ilharre,FR,8.05,2.73
city,country,temp_max,temp_min
Les Mées,FR,3.52,3.52
city,country,temp_max,temp_min
Castelsarrasin,FR,8.53,6.6
city,country,temp_max,temp_min
Vallabrix,FR,4.98,-0.2
city,country,temp_max,temp_min
Lussolle,FR,5.92,0.55
city,country,temp_max,temp_min
Pontenx-les-Forges,FR,8.26,-1.1
city,country,temp_max,temp_min
Pontenx-les-Forges,FR,8.33,-1.03
city,country,temp_max,temp_min
Saint-Trosse,FR,4.45,1.04
city,country,temp_max,temp_min
Arrondissement de Périgueux,FR,4.09,-2.17
city,country,temp_max,temp_min
Arrondissement de La Tour-du-Pin,FR,2.62,-2.22
city,country,temp_max,temp_min
Four,FR,3.21,-1.28
city,country,temp_max,temp_min
Corent,FR,-3.37,-3.37
city,country,temp_max,temp_min
Upper Savoy,FR,-4.91,-10.78
city,country,temp_max,temp_min
Franche-Comté Region,FR,5,-3
city,country,temp_max,temp_min
Jura,FR,2.67,-4.21
city,country,temp_max,temp_min
Trouy,FR,1.93,0.64
city,country,temp_max,temp_min
Trouy,FR,1.94,0.65
city,country,temp_max,temp_min
Doubs,FR,2.42,-5.58
city,country,temp_max,temp_min
Arrondissement de Pontarlier,FR,1.08,-6.92
city,country,temp_max,temp_min
La Croix Verte,FR,5.14,3.27
city,country,temp_max,temp_min
Ormenans,FR,5.98,-2.01
city,country,temp_max,temp_min
Brittany Region,FR,7.36,4.79
city,country,temp_max,temp_min
Champagne-Ardenne Region,FR,4.08,2.03
city,country,temp_max,temp_min
Île-de-France Region,FR,5.88,2.42
city,country,temp_max,temp_min
Fontenailles,FR,5.67,2.21
city,country,temp_max,temp_min
Audignicourt,FR,5.19,3.49
city,country,temp_max,temp_min
Somme,FR,6.88,5.44
city,country,temp_max,temp_min
Béthencourt-sur-Mer,FR,7.37,6.33
city,country,temp_max,temp_min
L'Hospitalet-près-l'Andorre,FR,2.95,-7.99
city,country,temp_max,temp_min
L'Allier,FR,3.42,1.84
city,country,temp_max,temp_min
L'Eure,FR,6.9,6.42
city,country,temp_max,temp_min
Saint-Girons,FR,10.02,-0.92
city,country,temp_max,temp_min
Grenoble,FR,6.12,-0.74
city,country,temp_max,temp_min
Serres-Castet,FR,4.78,-0.12
city,country,temp_max,temp_min
Mamers,FR,3.81,3.81
city,country,temp_max,temp_min
Bar-sur-Aube,FR,3.79,2.63
city,country,temp_max,temp_min
Anguilcourt-le-Sart,FR,6.38,5.38
city,country,temp_max,temp_min
Yerres,FR,5.35,3.02
city,country,temp_max,temp_min
Arrondissement de Mulhouse,FR,3.88,-0.68
city,country,temp_max,temp_min
Hésingue,FR,4.05,-0.51
city,country,temp_max,temp_min
Les Chenais,FR,5.91,5.02
city,country,temp_max,temp_min
Arrondissement de Sarlat-la-Canéda,FR,5.8,-2.62
city,country,temp_max,temp_min
Dhuizon,FR,3.31,1.84
city,country,temp_max,temp_min
Dhuizon,FR,3.27,1.81
city,country,temp_max,temp_min
Lot-et-Garonne,FR,7.54,-2.64
city,country,temp_max,temp_min
Arrondissement d'Agen,FR,8.53,5.81
city,country,temp_max,temp_min
Pont-du-Casse,FR,8.53,1.91
city,country,temp_max,temp_min
Pont-du-Casse,FR,8.51,1.89
city,country,temp_max,temp_min
Rosny-sous-Bois,FR,5.45,3.12
city,country,temp_max,temp_min
